id,key,value,type
245711024,source,AND,regular
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711197,iso_3166_2,IN-GJ,is_in
245711252,source,AND,regular
245711347,source,AND,regular
245711438,source,AND,regular
245711443,source,AND,regular
245711446,source,AND,regular
245711465,source,AND,regular
245711479,source,AND,regular
245711482,source,AND,regular
245711489,source,AND,regular
245711515,source,AND,regular
245711520,source,AND,regular
245711523,source,AND,regular
245711530,source,AND,regular
245711551,source,AND,regular
245711883,source,AND,regular
245712036,source,AND,regular
245712114,source,AND,regular
322633904,railway,level_crossing,regular
322645590,railway,level_crossing,regular
322645708,railway,level_crossing,regular
322702345,power,tower,regular
322702348,power,tower,regular
322702356,power,tower,regular
322702359,power,tower,regular
322702388,power,tower,regular
322702410,power,tower,regular
322702454,power,tower,regular
322702466,power,tower,regular
322702476,power,tower,regular
322702617,power,tower,regular
322702618,power,tower,regular
322702620,power,tower,regular
322702634,power,tower,regular
322702635,power,tower,regular
322702638,power,tower,regular
322702639,power,tower,regular
322702645,power,tower,regular
322702646,power,tower,regular
322702650,power,tower,regular
322702653,power,tower,regular
322702657,power,tower,regular
322702745,power,tower,regular
322702757,power,tower,regular
322702763,power,tower,regular
322702764,power,tower,regular
322702769,power,tower,regular
322702770,power,tower,regular
322702774,power,tower,regular
322702973,power,tower,regular
322702974,power,tower,regular
322703030,power,tower,regular
322703039,power,tower,regular
322703047,power,tower,regular
322703048,power,tower,regular
322703055,power,tower,regular
322703058,power,tower,regular
322703060,power,tower,regular
322703063,power,tower,regular
322703073,power,tower,regular
322703074,power,tower,regular
322703082,power,tower,regular
322703092,power,tower,regular
322703118,power,tower,regular
322703122,power,tower,regular
322703142,power,tower,regular
322703290,power,tower,regular
322703291,power,tower,regular
322703296,power,tower,regular
322703304,power,tower,regular
322703305,power,tower,regular
322703307,power,tower,regular
322703378,power,tower,regular
322703445,power,tower,regular
322703470,power,tower,regular
322703500,power,tower,regular
322703504,power,tower,regular
322703509,power,tower,regular
322703510,power,tower,regular
322703512,power,tower,regular
322704090,power,tower,regular
322704094,power,tower,regular
322704746,power,tower,regular
322704748,power,tower,regular
322704781,power,tower,regular
322704782,power,tower,regular
322704784,power,tower,regular
322704809,power,tower,regular
322704868,power,tower,regular
322704875,power,tower,regular
322704881,power,tower,regular
322704965,power,tower,regular
322704976,power,tower,regular
322705019,power,tower,regular
322705061,power,tower,regular
322705065,power,tower,regular
322705083,power,tower,regular
322705090,power,tower,regular
322705114,power,tower,regular
322705116,power,tower,regular
322705128,power,tower,regular
322705212,power,tower,regular
322705215,power,tower,regular
322705219,power,tower,regular
322705235,power,tower,regular
322705236,power,tower,regular
322705239,power,tower,regular
322705242,power,tower,regular
322705356,power,tower,regular
322705363,power,tower,regular
322705384,power,tower,regular
322705490,power,tower,regular
322705493,power,tower,regular
322705521,power,tower,regular
322705607,power,tower,regular
322705615,power,tower,regular
322705621,power,tower,regular
322705649,power,tower,regular
322705673,power,tower,regular
322705679,power,tower,regular
322705682,power,tower,regular
322705843,power,tower,regular
322705851,power,tower,regular
322705876,power,tower,regular
322705944,power,tower,regular
322705945,power,tower,regular
322705950,power,tower,regular
322705978,power,tower,regular
322705990,power,tower,regular
322706025,power,tower,regular
322706244,power,tower,regular
322706258,power,tower,regular
322706333,power,tower,regular
322706365,power,tower,regular
322706386,power,tower,regular
322706420,power,tower,regular
322706473,power,tower,regular
322706475,power,tower,regular
322706476,power,tower,regular
322706526,power,tower,regular
322706532,power,tower,regular
322706533,power,tower,regular
322706541,power,tower,regular
322706545,power,tower,regular
322706557,power,tower,regular
322706560,power,tower,regular
322706567,power,tower,regular
322706589,power,tower,regular
322706602,power,tower,regular
322706604,power,tower,regular
322706605,power,tower,regular
322706609,power,tower,regular
322706610,power,tower,regular
322706621,power,tower,regular
322706625,power,tower,regular
322706626,power,tower,regular
322706628,power,tower,regular
322706631,power,tower,regular
322706643,power,tower,regular
322706644,power,tower,regular
322706646,power,tower,regular
322706647,power,tower,regular
322706740,power,tower,regular
322706964,power,tower,regular
322707008,power,tower,regular
322707023,power,tower,regular
322707026,power,tower,regular
322707027,power,tower,regular
322707030,power,tower,regular
322707031,power,tower,regular
322710548,power,tower,regular
322710560,power,tower,regular
322710634,power,tower,regular
322710635,power,tower,regular
322710640,power,tower,regular
322710641,power,tower,regular
322710643,power,tower,regular
322710644,power,tower,regular
322710645,power,tower,regular
322710646,power,tower,regular
322710647,power,tower,regular
322710648,power,tower,regular
322710649,power,tower,regular
322710650,power,tower,regular
322710659,power,tower,regular
322710731,power,tower,regular
322710766,power,tower,regular
322710868,power,tower,regular
322710880,power,tower,regular
322710899,power,tower,regular
322710900,power,tower,regular
322710901,power,tower,regular
322710934,power,tower,regular
322710975,power,tower,regular
322710978,power,tower,regular
322710986,power,tower,regular
322710993,power,tower,regular
322711028,power,tower,regular
322711048,power,tower,regular
322711049,power,tower,regular
322711051,power,tower,regular
322711052,power,tower,regular
322711053,power,tower,regular
322711056,power,tower,regular
322711130,power,tower,regular
322711148,power,tower,regular
322711150,power,tower,regular
322711182,power,tower,regular
322711186,power,tower,regular
